id,source,dict_type,entry_id,entry_name,valid_from,valid_to,is_current,content_hash,created_at,updated_at
1,rada,status,0,Не визначено,2026-02-02 00:53:13.682057,,t,2a15c33646653bb1ae439cb59114404f3db70c23300e65241563f5c6bc11d043,2026-02-02 00:53:13.683083,2026-02-02 00:53:13.68309
2,rada,status,1,Втратив чинність,2026-02-02 00:53:13.685528,,t,f8ccd0708d87a42f81078991f4ef63e4836adb2b44a87e1044e4f273e4b7427e,2026-02-02 00:53:13.685785,2026-02-02 00:53:13.685787
3,rada,status,2,Набирає чинності,2026-02-02 00:53:13.686993,,t,b4cf8267384c95826345b0b45fda5062fe73ab45171817ab33a55d14dba5d761,2026-02-02 00:53:13.687192,2026-02-02 00:53:13.687195
4,rada,status,3,Дію зупинено,2026-02-02 00:53:13.688288,,t,18209c05b147c7357a40ecbb6f3c3fc00a7e2a246c899fad52dd5de34625ecbb,2026-02-02 00:53:13.688434,2026-02-02 00:53:13.688435
5,rada,status,4,Дію відновлено,2026-02-02 00:53:13.68922,,t,c6236430f4ad1b93f2083af878a100a930028068301ffdc15269b1878feb04e5,2026-02-02 00:53:13.689339,2026-02-02 00:53:13.68934
6,rada,status,5,Чинний,2026-02-02 00:53:13.690044,,t,c413c4f1220df99fd1c4bef1a7c1101eb5719aca567fe22556e804493c15e1dc,2026-02-02 00:53:13.69015,2026-02-02 00:53:13.690152
7,rada,status,6,Не набрав чинності,2026-02-02 00:53:13.690834,,t,40a58d6c09c37ba887a58678fdbfd3fcf50eb261f89b4fdc863d44e781dce300,2026-02-02 00:53:13.690936,2026-02-02 00:53:13.690937
8,rada,status,7,Не застосовується на території України,2026-02-02 00:53:13.692,,t,e2526c915b4e650e8d61def9d1ffe1a134a41e8d5d54c29de9a1bd5c8403fe9d,2026-02-02 00:53:13.692131,2026-02-02 00:53:13.692132
12,rada,theme,1,Господарсько (арбітражно)-процесуальне законодавство,2026-02-02 00:53:13.695521,,t,5f24e5a0d606ab7f6902df30cb08742eba91d83b72642938b7f0209aa9ef63e2,2026-02-02 00:53:13.695629,2026-02-02 00:53:13.69563
9,rada,theme,2,"Банки, фінанси, кредит, бюджет",2026-02-02 00:53:13.692923,,t,7da749d0ce6ccf87e42c9b77a116b7d2afd90e6445976e1751820b3fb9d6d7ff,2026-02-02 00:53:13.693028,2026-02-02 00:53:13.69303
11,rada,theme,3,"Бухгалтерський облік, оподаткування, аудит, статистика, облік і звітність",2026-02-02 00:53:13.694629,,t,eae60e4d78ca86b273eea960f3c61907c2173a06f9907271de8b67637cac2439,2026-02-02 00:53:13.694746,2026-02-02 00:53:13.694747
13,rada,theme,4,"Державний та суспільний устрій (в т.ч. громадянство, паспортна система, в'їзд-виїзд, адміністративний поділ, органи нагляду та контролю)",2026-02-02 00:53:13.696397,,t,e21377908df92154d2f679cac12b52f32add7c38c8e449f7d6b6a0eaec72467a,2026-02-02 00:53:13.696504,2026-02-02 00:53:13.696505
38,rada,theme,5,"Цивільне та цивільно-процесуальне законодавство (в т.ч. приватизація, оренда, власність)",2026-02-02 00:53:13.720198,,t,ab4ef99058b3d8dbb62f77009967dc9eb2cd44118114606da1f40b15187740ee,2026-02-02 00:53:13.720326,2026-02-02 00:53:13.720328
14,rada,theme,6,Житлове законодавство. Житлово-комунальне господарство,2026-02-02 00:53:13.697247,,t,dcc9a30bea7b44035178fae1a39a7bb00a8f01fa7f9e93c3864a46338830e6ae,2026-02-02 00:53:13.697351,2026-02-02 00:53:13.697353
36,rada,theme,7,"Транспорт, зв'язок, інформація",2026-02-02 00:53:13.718207,,t,51f5f37cc6d03cbd11b986de79c51c9eeff277525a5257295667ae6051e36e5e,2026-02-02 00:53:13.718348,2026-02-02 00:53:13.71835
16,rada,theme,8,Законодавство про адміністративну відповідальність,2026-02-02 00:53:13.69934,,t,ffea997cb01a787c363fd4ac07ea3f9bff55f7537e1e8c70222c27e86d84158d,2026-02-02 00:53:13.699491,2026-02-02 00:53:13.699492
27,rada,theme,9,"Природні ресурси, охорона оточуючого середовища, земельне законодавство, гідрометеорологія",2026-02-02 00:53:13.709161,,t,c849193d1391778f6c8d94f112690d35064a0f523e4394028a03dd7ac8f9acf8,2026-02-02 00:53:13.709276,2026-02-02 00:53:13.709277
19,rada,theme,10,"Ліцензування, сертифікація, патентування, метрологія, стандартизація, авторське право",2026-02-02 00:53:13.702252,,t,8e912999e18c7ffe5cd58c13423381e47a1d897dbe5f05c19e414b2c96300bc9,2026-02-02 00:53:13.702385,2026-02-02 00:53:13.702386
